9,0.66,0,ギター部,#
10,0.33,0,Hitodama,#
10.58,0.5,0,Stick out,#
11.42,0.33,0,蛙化,#
12,0.5,0,The Lost Boys,#
12.75,0.58,0,Blue sky,#
13.58,0.5,0,5Gs,#
14.33,0.66,0,エタノール76.2,#
9,1,1,吹奏楽部,#
10.75,0.5,1,m∞n,#
11.42,0.33,1,Prism,#
11.92,0.5,1,ciel,#
12.58,0.5,1,DA☆さいたまアリス,#
13.25,0.5,1,DAY DREAM,#
14,1,1,バトンチア部,#
9,0.66,2,Lovey Dovey,#
9.83,0.66,2,あずきなこ,#
10.66,0.5,2,赤い靴,#
11.66,1,2,演劇部,#
13.33,0.25,2,探究①,#
13.67,0.25,2,探究②,#
14,0.25,2,探究③,#
14.33,0.25,2,探究④,#
14.67,0.25,2,探究⑤,#
9,0.5,3,アルペジオ,#
9.75,0.75,3,ハンドベル部,#
10.83,0.25,3,探究⑥,#
11.17,0.25,3,探究⑦,#
11.67,1.5,3,ディベート部,#
13.42,0.66,3,√MIKI,#
