重要：来場される方へ,近隣の方の迷惑となりますので、車での来場は絶対にお控えください。
重要：食販企画・シャトルバス・古本市での決済について,今回の開智発表会では、食販企画・シャトルバス・古本市での決済方法は<strong>クレジットカード・交通系IC・PayPayのみ</strong>となっています。<!--使用できるクレジットカード・交通系ICは以下の画像をご確認ください。--><br>ただし、9/14実施のバザーと食堂では<strong>現金のみ</strong>使用できます。ご注意ください。
HPのシステムの一部変更について,HPの一部システムの変更のため、HPで用いられるURLが変更されます。<br>例:(旧)https://kaichi-fes.jp/2024/index.html?p=summary → (新)https://kaichi-fes.jp/summary/
来場される皆様へ,近隣の方の迷惑となりますので、車での来場はお控えください。東岩槻駅から学校まではシャトルバス(片道100円)を運行しております。<br>また、校内では上履きの着用が必要です。上履きと、外履きを入れる袋の持参をお願いします。
